ticker,exchange,icb_code,icb_name,effective_from,effective_to,is_current,issuer_id,state_owner_pct,foreign_room_pct
EBS,HNX,5557,"Sách, ấn bản & sản phẩm văn hóa",2020-01-01,,True,,,
ECI,HNX,5557,"Sách, ấn bản & sản phẩm văn hóa",2020-01-01,,True,,,
EID,HNX,5557,"Sách, ấn bản & sản phẩm văn hóa",2020-01-01,,True,,,
EVS,HNX,8777,Môi giới chứng khoán,2020-01-01,,True,,,
FID,HNX,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
GDW,HNX,7577,Nước,2020-01-01,,True,,,
GIC,HNX,2777,"Kho bãi, hậu cần và bảo dưỡng",2020-01-01,,True,,,
GKM,HNX,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
GLT,HNX,3743,Điện tử tiêu dùng,2020-01-01,,True,,,
GMA,HNX,3353,Sản xuất ô tô,2020-01-01,,True,,,
GMX,HNX,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
HAD,HNX,3533,Sản xuất bia,2020-01-01,,True,,,
HAT,HNX,3533,Sản xuất bia,2020-01-01,,True,,,
HBS,HNX,8777,Môi giới chứng khoán,2020-01-01,,True,,,
HCC,HNX,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
HCT,HNX,2779,Dịch vụ vận tải,2020-01-01,,True,,,
HDA,HNX,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
HEV,HNX,5557,"Sách, ấn bản & sản phẩm văn hóa",2020-01-01,,True,,,
HGM,HNX,1775,Khai khoáng,2020-01-01,,True,,,
HHC,HNX,3577,Thực phẩm,2020-01-01,,True,,,
HJS,HNX,7535,Sản xuất & Phân phối Điện,2020-01-01,,True,,,
HKT,HNX,3537,Đồ uống & giải khát,2020-01-01,,True,,,
HLC,HNX,1771,Khai thác Than,2020-01-01,,True,,,
HLD,HNX,8633,Bất động sản,2020-01-01,,True,,,
HMH,HNX,2779,Dịch vụ vận tải,2020-01-01,,True,,,
HMR,HNX,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
HOM,HNX,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
HTC,HNX,7573,Phân phối xăng dầu & khí đốt,2020-01-01,,True,,,
HUT,HNX,3353,Sản xuất ô tô,2020-01-01,,True,,,
HVT,HNX,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2020-01-01,,True,,,
ICG,HNX,2357,Xây dựng,2020-01-01,,True,,,
IDC,HNX,8633,Bất động sản,2020-01-01,,True,,,
IDJ,HNX,8633,Bất động sản,2020-01-01,,True,,,
IDV,HNX,8633,Bất động sản,2020-01-01,,True,,,
INC,HNX,2357,Xây dựng,2020-01-01,,True,,,
INN,HNX,2723,Containers & Đóng gói,2020-01-01,,True,,,
